date,ndvi,ts_id,ndvi_null,id
2014-11-09,0.6135526513059933,0053_d,False,0053_d-388
2014-11-23,0.6717238560318947,0053_d,False,0053_d-389
2014-12-07,0.6193210115035375,0053_d,False,0053_d-390
2014-12-21,0.6383329987525941,0053_d,False,0053_d-391
2015-01-04,0.6107067259649436,0053_d,False,0053_d-392
2015-01-18,0.5826570965349674,0053_d,False,0053_d-393
2015-02-01,0.5649453920622667,0053_d,False,0053_d-394
2015-02-15,0.6257735262314479,0053_d,False,0053_d-395
2015-03-01,0.501274998486042,0053_d,False,0053_d-396
2015-03-15,0.5475741555293402,0053_d,False,0053_d-397
2015-03-29,0.5378690871099631,0053_d,False,0053_d-398
2015-04-12,0.6013241739322741,0053_d,False,0053_d-399
2015-04-26,0.5793397369484106,0053_d,False,0053_d-400
2015-05-10,0.5729145570844412,0053_d,False,0053_d-401
2015-05-24,0.2920122076964212,0053_d,False,0053_d-402
2015-06-07,0.6203402591248353,0053_d,False,0053_d-403
2015-06-21,0.5825311963756878,0053_d,False,0053_d-404
2015-07-05,,0053_d,True,0053_d-405
2015-07-19,0.6698507597049077,0053_d,False,0053_d-406
2015-08-02,0.5826264875382186,0053_d,False,0053_d-407
2015-08-16,0.5775739848613739,0053_d,False,0053_d-408
2015-08-30,0.6006458352009455,0053_d,False,0053_d-409
2015-09-13,0.5822077591220538,0053_d,False,0053_d-410
2015-09-27,0.5525952316820621,0053_d,False,0053_d-411
2015-10-11,0.6302141537268956,0053_d,False,0053_d-412
2015-10-25,,0053_d,True,0053_d-413
2015-11-08,0.630789062353196,0053_d,False,0053_d-414
2015-11-22,0.6190293919046721,0053_d,False,0053_d-415
2015-12-06,0.6268198725250032,0053_d,False,0053_d-416
2015-12-20,0.63488041361173,0053_d,False,0053_d-417
2016-01-03,0.5977696552872658,0053_d,False,0053_d-418
2016-01-17,0.6229526912172635,0053_d,False,0053_d-419
2016-01-31,0.5731030667821566,0053_d,False,0053_d-420
2016-02-14,,0053_d,True,0053_d-421
2016-02-28,0.5968933296700318,0053_d,False,0053_d-422
2016-03-13,0.5408496856689453,0053_d,False,0053_d-423
2016-03-27,0.5776956717173258,0053_d,False,0053_d-424
2016-04-10,0.6385998542110125,0053_d,False,0053_d-425
2016-04-24,0.6831389407316844,0053_d,False,0053_d-426
2016-05-08,0.5909132361412048,0053_d,False,0053_d-427
2016-05-22,0.620544546842575,0053_d,False,0053_d-428
2016-06-05,,0053_d,True,0053_d-429
2016-06-19,0.7452256739470693,0053_d,False,0053_d-430
2016-07-03,,0053_d,True,0053_d-431
2016-07-17,0.7752338429292043,0053_d,False,0053_d-432
2016-07-31,,0053_d,True,0053_d-433
2016-08-14,0.6230379458765188,0053_d,False,0053_d-434
2016-08-28,0.6966872021059195,0053_d,False,0053_d-435
2016-09-11,0.7295016956826051,0053_d,False,0053_d-436
2016-09-25,0.6941463376084964,0053_d,False,0053_d-437
2016-10-09,0.6060698928932349,0053_d,False,0053_d-438
2016-10-23,0.6768744660748376,0053_d,False,0053_d-439
2016-11-06,0.6112725456555684,0053_d,False,0053_d-440
2016-11-20,0.6872403626640639,0053_d,False,0053_d-441
2016-12-04,0.6171530060470104,0053_d,False,0053_d-442
2016-12-18,,0053_d,True,0053_d-443
2017-01-01,0.6320961804853544,0053_d,False,0053_d-444
2017-01-15,0.6149366682767867,0053_d,False,0053_d-445
2017-01-29,0.5814122466577424,0053_d,False,0053_d-446
2017-02-12,0.5690926890820265,0053_d,False,0053_d-447
2017-02-26,0.5784462079405784,0053_d,False,0053_d-448
2017-03-12,0.5631810501217841,0053_d,False,0053_d-449
2017-03-26,,0053_d,True,0053_d-450
2017-04-09,0.5850540041923523,0053_d,False,0053_d-451
2017-04-23,0.6190695035788748,0053_d,False,0053_d-452
2017-05-07,,0053_d,True,0053_d-453
2017-05-21,0.6286397246023019,0053_d,False,0053_d-454
2017-06-04,0.7071779772639274,0053_d,False,0053_d-455
2017-06-18,0.7040998335395541,0053_d,False,0053_d-456
2017-07-02,,0053_d,True,0053_d-457
2017-07-16,0.7068878715236981,0053_d,False,0053_d-458
2017-07-30,0.6950301193942626,0053_d,False,0053_d-459
2017-08-13,,0053_d,True,0053_d-460
2017-08-27,0.7347973580161731,0053_d,False,0053_d-461
2017-09-10,0.6192888935407003,0053_d,False,0053_d-462
2017-09-24,0.6650856249034405,0053_d,False,0053_d-463
2017-10-08,0.4961222559213638,0053_d,False,0053_d-464
2017-10-22,,0053_d,True,0053_d-465
2017-11-05,0.6742318789164226,0053_d,False,0053_d-466
2017-11-19,0.6733604823076536,0053_d,False,0053_d-467
2017-12-03,0.6232732320825259,0053_d,False,0053_d-468
2017-12-17,,0053_d,True,0053_d-469
