date,ndvi,ts_id,ndvi_null,id
2000-01-09,0.7194648236036301,0000_nd,False,0000_nd-1
2000-01-23,0.8114515461027623,0000_nd,False,0000_nd-2
2000-02-06,0.8029344893991948,0000_nd,False,0000_nd-3
2000-02-20,0.7483727157115936,0000_nd,False,0000_nd-4
2000-03-05,0.8239197582006454,0000_nd,False,0000_nd-5
2000-03-19,0.7626378821829954,0000_nd,False,0000_nd-6
2000-04-02,0.7856719322502613,0000_nd,False,0000_nd-7
2000-04-16,0.777322419732809,0000_nd,False,0000_nd-8
2000-04-30,,0000_nd,True,0000_nd-9
2000-05-14,,0000_nd,True,0000_nd-10
2000-05-28,0.0074798858820854,0000_nd,False,0000_nd-11
2000-06-11,0.7177701331675053,0000_nd,False,0000_nd-12
2000-06-25,,0000_nd,True,0000_nd-13
2000-07-09,,0000_nd,True,0000_nd-14
2000-07-23,,0000_nd,True,0000_nd-15
2000-08-06,0.7419833332300185,0000_nd,False,0000_nd-16
2000-08-20,,0000_nd,True,0000_nd-17
2000-09-03,,0000_nd,True,0000_nd-18
2000-09-17,0.7055121419330438,0000_nd,False,0000_nd-19
2000-10-01,0.7790808960795402,0000_nd,False,0000_nd-20
2000-10-15,0.8038892157375812,0000_nd,False,0000_nd-21
2000-10-29,,0000_nd,True,0000_nd-22
2000-11-12,0.5901574924588204,0000_nd,False,0000_nd-23
2000-11-26,0.760992818698287,0000_nd,False,0000_nd-24
2000-12-10,,0000_nd,True,0000_nd-25
2000-12-24,0.8147858329117298,0000_nd,False,0000_nd-26
2001-01-07,0.7552567444741726,0000_nd,False,0000_nd-27
2001-01-21,0.7839959258834521,0000_nd,False,0000_nd-28
2001-02-04,0.8030582867562771,0000_nd,False,0000_nd-29
2001-02-18,0.7807883638888597,0000_nd,False,0000_nd-30
2001-03-04,0.7749109148979186,0000_nd,False,0000_nd-31
2001-03-18,0.7858707305043936,0000_nd,False,0000_nd-32
2001-04-01,,0000_nd,True,0000_nd-33
2001-04-15,,0000_nd,True,0000_nd-34
2001-04-29,,0000_nd,True,0000_nd-35
2001-05-13,,0000_nd,True,0000_nd-36
2001-05-27,,0000_nd,True,0000_nd-37
2001-06-10,0.7264325365424156,0000_nd,False,0000_nd-38
2001-06-24,,0000_nd,True,0000_nd-39
2001-07-08,,0000_nd,True,0000_nd-40
2001-07-22,,0000_nd,True,0000_nd-41
2001-08-05,,0000_nd,True,0000_nd-42
2001-08-19,,0000_nd,True,0000_nd-43
2001-09-02,0.4789526715874672,0000_nd,False,0000_nd-44
2001-09-16,0.7659644089639187,0000_nd,False,0000_nd-45
2001-09-30,0.48347998820245264,0000_nd,False,0000_nd-46
2001-10-14,0.8317732207477093,0000_nd,False,0000_nd-47
2001-10-28,,0000_nd,True,0000_nd-48
2001-11-11,,0000_nd,True,0000_nd-49
2001-11-25,0.8326329492032528,0000_nd,False,0000_nd-50
2001-12-09,0.8314313605427741,0000_nd,False,0000_nd-51
2001-12-23,0.8038679458200932,0000_nd,False,0000_nd-52
2002-01-06,,0000_nd,True,0000_nd-53
2002-01-20,0.7845152869820595,0000_nd,False,0000_nd-54
2002-02-03,0.8080144951740901,0000_nd,False,0000_nd-55
2002-02-17,0.7816169381141663,0000_nd,False,0000_nd-56
2002-03-03,0.7423567116260529,0000_nd,False,0000_nd-57
2002-03-17,0.8243193037807941,0000_nd,False,0000_nd-58
2002-03-31,0.8129278637468815,0000_nd,False,0000_nd-59
2002-04-14,0.7124262437224388,0000_nd,False,0000_nd-60
2002-04-28,,0000_nd,True,0000_nd-61
2002-05-12,0.6657632671296596,0000_nd,False,0000_nd-62
2002-05-26,,0000_nd,True,0000_nd-63
2002-06-09,,0000_nd,True,0000_nd-64
2002-06-23,0.641300255432725,0000_nd,False,0000_nd-65
2002-07-07,0.6060437977313995,0000_nd,False,0000_nd-66
2002-07-21,,0000_nd,True,0000_nd-67
2002-08-04,0.7543724179267883,0000_nd,False,0000_nd-68
2002-08-18,0.6799045659601688,0000_nd,False,0000_nd-69
2002-09-01,,0000_nd,True,0000_nd-70
2002-09-15,0.7975310862064362,0000_nd,False,0000_nd-71
2002-09-29,0.8189400218427181,0000_nd,False,0000_nd-72
