date,ndvi,ts_id,ndvi_null,id
2000-01-31,0.7896473789215088,0000_nd,False,0000_nd-1
2000-02-29,0.7987374107042949,0000_nd,False,0000_nd-2
2000-03-31,0.7718515022099017,0000_nd,False,0000_nd-3
2000-04-30,0.777322419732809,0000_nd,False,0000_nd-4
2000-05-31,0.0074798858820854,0000_nd,False,0000_nd-5
2000-06-30,0.7177701331675053,0000_nd,False,0000_nd-6
2000-07-31,,0000_nd,True,0000_nd-7
2000-08-31,0.7419833332300185,0000_nd,False,0000_nd-8
2000-09-30,0.723904330469668,0000_nd,False,0000_nd-9
2000-10-31,0.8038892157375812,0000_nd,False,0000_nd-10
2000-11-30,0.7040477099517982,0000_nd,False,0000_nd-11
2000-12-31,0.8147858329117298,0000_nd,False,0000_nd-12
2001-01-31,0.7812311200158936,0000_nd,False,0000_nd-13
2001-02-28,0.7656061166524888,0000_nd,False,0000_nd-14
2001-03-31,0.7938897565007209,0000_nd,False,0000_nd-15
2001-04-30,,0000_nd,True,0000_nd-16
2001-05-31,,0000_nd,True,0000_nd-17
2001-06-30,0.7264325365424156,0000_nd,False,0000_nd-18
2001-07-31,,0000_nd,True,0000_nd-19
2001-08-31,,0000_nd,True,0000_nd-20
2001-09-30,0.595568293184042,0000_nd,False,0000_nd-21
2001-10-31,0.8317732207477093,0000_nd,False,0000_nd-22
2001-11-30,0.8320321548730135,0000_nd,False,0000_nd-23
2001-12-31,0.8038679458200932,0000_nd,False,0000_nd-24
2002-01-31,0.7789250627160073,0000_nd,False,0000_nd-25
2002-02-28,0.7836947298475675,0000_nd,False,0000_nd-26
2002-03-31,0.8186235837638378,0000_nd,False,0000_nd-27
2002-04-30,0.7124262437224388,0000_nd,False,0000_nd-28
2002-05-31,0.6657632671296596,0000_nd,False,0000_nd-29
2002-06-30,0.641300255432725,0000_nd,False,0000_nd-30
2002-07-31,0.6802081078290939,0000_nd,False,0000_nd-31
2002-08-31,0.6799045659601688,0000_nd,False,0000_nd-32
2002-09-30,0.8082355540245771,0000_nd,False,0000_nd-33
2002-10-31,0.7405420519411564,0000_nd,False,0000_nd-34
2002-11-30,0.8396905303001404,0000_nd,False,0000_nd-35
2002-12-31,0.8321744076907635,0000_nd,False,0000_nd-36
2003-01-31,0.8205826555689176,0000_nd,False,0000_nd-37
2003-02-28,0.8204197607934475,0000_nd,False,0000_nd-38
2003-03-31,0.8283171178152164,0000_nd,False,0000_nd-39
2003-04-30,0.7870505712926388,0000_nd,False,0000_nd-40
2003-05-31,0.7174683269113302,0000_nd,False,0000_nd-41
2003-06-30,,0000_nd,True,0000_nd-42
2003-07-31,0.2585366053506732,0000_nd,False,0000_nd-43
2003-08-31,0.7119365010410548,0000_nd,False,0000_nd-44
2003-09-30,0.7106736595431964,0000_nd,False,0000_nd-45
2003-10-31,0.8077130449669702,0000_nd,False,0000_nd-46
2003-11-30,0.851412971317768,0000_nd,False,0000_nd-47
2003-12-31,0.8050751416012645,0000_nd,False,0000_nd-48
2004-01-31,0.7902443747967481,0000_nd,False,0000_nd-49
2004-02-29,0.73741329818964,0000_nd,False,0000_nd-50
2004-03-31,0.8064009865745903,0000_nd,False,0000_nd-51
2004-04-30,0.7828373968601227,0000_nd,False,0000_nd-52
2004-05-31,0.740292152762413,0000_nd,False,0000_nd-53
2004-06-30,0.53887369770978,0000_nd,False,0000_nd-54
2004-07-31,0.5498738624155521,0000_nd,False,0000_nd-55
2004-08-31,0.5285101180023049,0000_nd,False,0000_nd-56
2004-09-30,0.6992716453969479,0000_nd,False,0000_nd-57
2004-10-31,0.7975303519517183,0000_nd,False,0000_nd-58
2004-11-30,0.7896633556733529,0000_nd,False,0000_nd-59
2004-12-31,0.813777581974864,0000_nd,False,0000_nd-60
2005-01-31,0.8042478757599989,0000_nd,False,0000_nd-61
2005-02-28,0.7708147218450904,0000_nd,False,0000_nd-62
2005-03-31,0.7832353718578816,0000_nd,False,0000_nd-63
2005-04-30,0.7062410667538643,0000_nd,False,0000_nd-64
2005-05-31,0.7400102853775025,0000_nd,False,0000_nd-65
2005-06-30,0.6246993072330952,0000_nd,False,0000_nd-66
2005-07-31,0.5844199454411864,0000_nd,False,0000_nd-67
